NU_INSCRICAO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_LINGUA;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q025
2,10E+11;6;M;2;1;2;1;1;1;;0;;;;;3201209;Cachoeiro de Itapemirim;32;ES;;;;0;1;1;0;;527.3;450.9;;0;1;120;140;80;100;100;540;B
2,10E+11;2;F;1;0;1;2;0;2;1;0;3201308;Cariacica;32;ES;3201308;Cariacica;32;ES;2;1;1;1;1;1;1;549.5;587.5;568.4;414.1;0;1;140;200;120;140;100;700;B
2,10E+11;4;F;1;3;1;1;2;1;;0;;;;;3205200;Vila Velha;32;ES;;;;1;1;1;1;546.8;584.2;614.7;642.8;0;1;120;180;120;140;160;720;B
2,10E+11;7;F;1;1;1;1;0;1;;0;;;;;3200409;Anchieta;32;ES;;;;1;1;1;1;448.4;534.3;564.9;518.9;0;1;120;120;120;120;80;560;B
2,10E+11;4;F;1;1;1;1;1;1;;0;;;;;3200201;Alegre;32;ES;;;;1;1;1;1;626.8;620.6;511.3;720.4;0;1;160;200;180;200;200;940;B
2,10E+11;4;F;1;2;1;1;1;1;;0;;;;;3205069;Venda Nova do Imigrante;32;ES;;;;1;1;1;1;506;516.3;500.6;447;1;1;100;180;120;120;120;640;B
2,10E+11;2;F;1;2;1;2;0;2;1;0;3200607;Aracruz;32;ES;3200607;Aracruz;32;ES;2;1;1;1;1;1;1;545.7;490.9;521.5;606.9;0;1;120;120;140;140;160;680;B
2,10E+11;4;F;1;3;1;1;1;1;;0;;;;;3205309;Vitória;32;ES;;;;1;1;1;1;532.4;551.5;525.5;530.8;1;1;120;100;120;120;100;560;B
2,10E+11;4;F;1;0;1;1;1;1;;0;;;;;3200607;Aracruz;32;ES;;;;1;1;1;1;459.5;489.2;434;538.7;0;1;160;140;120;120;160;700;B
2,10E+11;8;F;1;2;1;1;7;1;;0;;;;;3203007;Iúna;32;ES;;;;1;1;1;1;506.2;531.6;494.1;486.6;1;1;120;120;100;120;100;560;B
