NU_INSCRICAO,FAIXA_ETARIA,SEXO,ESTADO_CIVIL,RACA,NACIONALIDADE,TP_ST_CONCLUSAO,ESCOLA,IN_TREINEIRO,NO_MUNICIPIO_ESC,NO_MUNICIPIO_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,COMP1,COMP2,COMP3,COMP4,COMP5,NOTA_REDACAO,INTERNET
"2,10E+11",17,F,1,preta,1,3,nao_respondeu,1,,Cariacica,1,1,1,1,498.7,599.1,577.3,503.2,ingles,1.0,120.0,160.0,120.0,80.0,20.0,500.0,sim
"2,10E+11",17,M,1,branca,1,3,nao_respondeu,1,,Linhares,0,0,0,0,,,,,espanhol,,,,,,,,sim
"2,10E+11",17,F,1,branca,1,3,nao_respondeu,1,,Mimoso do Sul,1,1,1,1,461.8,458.4,465.6,572.6,ingles,1.0,120.0,120.0,120.0,120.0,120.0,600.0,sim
"2,10E+11",19,F,1,parda,1,3,nao_respondeu,1,,Cariacica,1,1,1,1,579.8,660.4,659.9,663.8,espanhol,1.0,160.0,140.0,140.0,160.0,160.0,760.0,sim
"2,10E+11",18,M,1,branca,1,3,nao_respondeu,1,,Colatina,0,1,1,0,,582.2,571.4,,ingles,1.0,120.0,180.0,120.0,140.0,80.0,640.0,sim
"2,10E+11",<_17,F,1,branca,1,3,nao_respondeu,1,,Vitória,1,1,1,1,537.4,621.4,630.2,754.1,ingles,1.0,140.0,200.0,200.0,200.0,200.0,940.0,sim
"2,10E+11",<_17,F,1,branca,1,3,nao_respondeu,1,,Vitória,0,0,0,0,,,,,ingles,,,,,,,,sim
"2,10E+11",18,F,1,branca,1,3,nao_respondeu,1,,Vila Velha,1,1,1,1,537.4,584.6,588.7,686.7,ingles,1.0,140.0,160.0,120.0,120.0,140.0,680.0,sim
"2,10E+11",<_17,F,1,parda,1,3,nao_respondeu,1,,Santa Teresa,1,1,1,1,530.1,562.7,612.9,684.4,ingles,1.0,160.0,200.0,140.0,180.0,180.0,860.0,sim
"2,10E+11",17,F,1,branca,1,3,nao_respondeu,1,,Serra,1,1,1,1,522.5,420.1,428.8,494.8,ingles,1.0,140.0,200.0,140.0,180.0,120.0,780.0,sim
